Date,Close
2016-03-07,1.98
2016-03-08,1.95
2016-03-09,1.9
2016-03-10,2.04
2016-03-11,2.04
2016-03-14,2.0
2016-03-15,1.93
2016-03-16,2.01
2016-03-17,2.04
2016-03-18,2.08
2016-03-21,2.07
2016-03-22,2.08
2016-03-23,1.95
2016-03-24,2.02
2016-03-28,2.01
2016-03-29,2.08
2016-03-30,2.07
2016-03-31,2.05
2016-04-01,2.04
2016-04-04,2.03
2016-04-05,2.0
2016-04-06,2.03
2016-04-07,2.01
2016-04-08,2.0
2016-04-11,2.01
2016-04-12,2.05
2016-04-13,2.05
2016-04-14,2.12
2016-04-15,2.11
2016-04-18,2.12
2016-04-19,2.1
2016-04-20,2.13
2016-04-21,2.15
2016-04-22,2.22
2016-04-25,2.15
2016-04-26,2.14
2016-04-27,2.13
2016-04-28,2.05
2016-04-29,2.06
2016-05-02,2.05
2016-05-03,2.01
2016-05-04,2.01
2016-05-05,1.93
2016-05-06,1.92
2016-05-09,1.93
2016-05-10,1.86
2016-05-11,1.85
2016-05-12,1.8
2016-05-13,1.79
2016-05-16,1.81
2016-05-17,1.79
2016-05-18,1.76
2016-05-19,1.71
2016-05-20,1.68
2016-05-23,1.76
2016-05-24,1.75
2016-05-25,1.78
2016-05-26,1.79
2016-05-27,1.82
2016-05-31,1.92
2016-06-01,1.87
2016-06-02,1.85
2016-06-03,1.91
2016-06-06,1.95
2016-06-07,1.92
2016-06-08,1.92
2016-06-09,1.85
2016-06-10,1.8
2016-06-13,1.76
2016-06-14,1.73
2016-06-15,1.75
2016-06-16,1.75
2016-06-17,1.75
2016-06-20,1.8
2016-06-21,1.77
2016-06-22,1.73
2016-06-23,1.75
2016-06-24,1.71
2016-06-27,1.64
2016-06-28,1.76
2016-06-29,1.82
2016-06-30,1.86
2016-07-01,1.86
2016-07-05,1.76
2016-07-06,1.7
2016-07-07,1.69
2016-07-08,1.73
2016-07-11,1.73
2016-07-12,1.76
2016-07-13,1.74
2016-07-14,1.73
2016-07-15,1.68
2016-07-18,1.77
2016-07-19,1.8
2016-07-20,1.79
2016-07-21,1.78
2016-07-22,1.79
2016-07-25,1.82
2016-07-26,1.82
2016-07-27,1.79
2016-07-28,1.76
2016-07-29,1.79
2016-08-01,1.76
2016-08-02,1.72
2016-08-03,1.72
2016-08-04,1.7
2016-08-05,1.71
2016-08-08,1.74
2016-08-09,1.72
2016-08-10,1.7
2016-08-11,1.69
2016-08-12,1.69
2016-08-15,1.69
2016-08-16,1.65
2016-08-17,1.67
2016-08-18,1.7
2016-08-19,1.67
2016-08-22,1.68
2016-08-23,1.69
2016-08-24,1.66
2016-08-25,1.65
2016-08-26,1.67
2016-08-29,1.66
2016-08-30,1.56
2016-08-31,1.55
2016-09-01,1.54
2016-09-02,1.51
2016-09-06,1.51
2016-09-07,1.42
2016-09-08,1.45
